customer_id,age,gender,employment_type,monthly_income,loan_amount,transaction_count,avg_monthly_spend,savings_ratio,mobile_recharge_freq,missed_payments,income_to_loan_ratio,spend_to_income_ratio,credit_risk,risk_category,loan_eligibility,credit_score
CUST000017,42,Male,Self-Employed,42815,307085,66,30575,0.36,4,1,0.14,0.71,1,Medium Risk,Eligible with Conditions,592
CUST000018,22,Male,Self-Employed,57297,452166,133,22329,0.64,2,1,0.13,0.39,1,Medium Risk,Eligible with Conditions,648
CUST000019,44,Female,Salaried,68107,81054,261,60254,0.67,9,4,0.84,0.88,1,High Risk,Not Eligible,474
CUST000020,64,Female,Salaried,90793,332507,216,87029,0.65,14,5,0.27,0.96,1,High Risk,Not Eligible,410
CUST000021,50,Female,Self-Employed,27622,506772,58,90366,0.21,7,3,0.05,3.27,1,High Risk,Not Eligible,442
CUST000022,58,Female,Salaried,38408,591030,179,76662,0.19,7,6,0.06,2.0,1,High Risk,Not Eligible,300
CUST000023,22,Female,Salaried,147909,496112,104,43068,0.23,4,4,0.3,0.29,1,High Risk,Not Eligible,386
CUST000024,41,Male,Salaried,101190,574503,43,61951,0.33,14,5,0.18,0.61,1,High Risk,Not Eligible,346
CUST000025,53,Female,Student,8370,164245,267,90629,0.24,5,4,0.05,10.83,1,High Risk,Not Eligible,388
CUST000026,32,Female,Salaried,122212,407611,154,38171,0.28,6,0,0.3,0.31,0,Low Risk,Not Eligible,756
CUST000027,42,Male,Unemployed,8486,246443,125,11262,0.45,12,6,0.03,1.33,1,High Risk,Not Eligible,310
CUST000028,64,Male,Self-Employed,31762,482959,182,46270,0.54,11,6,0.07,1.46,1,High Risk,Not Eligible,328
CUST000029,45,Female,Unemployed,34613,108591,124,23785,0.52,12,5,0.32,0.69,1,High Risk,Not Eligible,384
CUST000030,47,Male,Unemployed,11196,254045,76,42469,0.58,2,6,0.04,3.79,1,High Risk,Not Eligible,336
CUST000031,62,Male,Self-Employed,108565,575517,223,71831,0.05,4,3,0.19,0.66,1,High Risk,Not Eligible,410
CUST000032,48,Female,Salaried,84349,67583,127,84223,0.06,13,4,1.25,1.0,1,High Risk,Not Eligible,352
CUST000033,36,Male,Salaried,72839,260931,248,48643,0.56,4,2,0.28,0.67,1,Medium Risk,Eligible with Conditions,572
CUST000034,35,Male,Salaried,16572,164996,79,70657,0.39,12,5,0.1,4.26,1,High Risk,Not Eligible,358
CUST000035,64,Female,Self-Employed,53853,471185,10,6582,0.42,13,1,0.11,0.12,1,Medium Risk,Eligible with Conditions,604
CUST000036,23,Female,Salaried,80379,297248,25,33280,0.07,4,5,0.27,0.41,1,High Risk,Not Eligible,300
CUST000037,57,Male,Salaried,140177,270808,194,45589,0.2,7,2,0.52,0.33,0,Medium Risk,Eligible with Conditions,620
CUST000038,27,Male,Salaried,124074,459377,229,43000,0.46,13,6,0.27,0.35,1,High Risk,Not Eligible,312
CUST000039,41,Female,Unemployed,51209,206664,107,4085,0.61,7,2,0.25,0.08,1,Medium Risk,Eligible with Conditions,582
CUST000040,29,Male,Salaried,102244,300043,103,84427,0.64,7,6,0.34,0.83,1,High Risk,Not Eligible,348
CUST000041,59,Male,Salaried,108300,546529,87,18600,0.37,7,2,0.2,0.17,1,Medium Risk,Eligible with Conditions,534
CUST000042,38,Male,Salaried,122682,592760,185,62801,0.4,2,3,0.21,0.51,1,High Risk,Not Eligible,480
CUST000043,24,Female,Unemployed,65175,210320,156,64739,0.59,5,3,0.31,0.99,1,High Risk,Not Eligible,518
CUST000044,45,Male,Self-Employed,145921,36346,60,77181,0.39,10,5,4.01,0.53,1,High Risk,Not Eligible,358
CUST000045,34,Male,Salaried,109551,371595,194,44596,0.38,2,3,0.29,0.41,1,High Risk,Not Eligible,476
CUST000046,29,Female,Salaried,26976,440436,26,73410,0.64,5,1,0.06,2.72,1,Medium Risk,Eligible with Conditions,648
CUST000047,46,Male,Salaried,138617,154014,72,82303,0.56,12,6,0.9,0.59,1,High Risk,Not Eligible,332
CUST000048,22,Male,Salaried,107794,7016,189,55188,0.64,6,0,15.36,0.51,0,Low Risk,Eligible,828
CUST000049,40,Female,Unemployed,64866,528195,14,29825,0.18,3,5,0.12,0.46,1,High Risk,Not Eligible,316
CUST000050,48,Female,Self-Employed,125752,536562,70,13913,0.38,6,4,0.23,0.11,1,High Risk,Not Eligible,416
CUST000051,27,Female,Self-Employed,55078,20748,268,84751,0.59,5,4,2.65,1.54,1,High Risk,Not Eligible,458
CUST000052,64,Female,Student,39113,418391,229,87269,0.1,4,5,0.09,2.23,1,High Risk,Not Eligible,300
CUST000053,28,Male,Salaried,23401,502926,127,17332,0.56,10,0,0.05,0.74,1,Low Risk,Not Eligible,692
CUST000054,55,Male,Self-Employed,79492,541114,42,57895,0.15,9,4,0.15,0.73,1,High Risk,Not Eligible,370
CUST000055,34,Female,Student,84693,432345,127,7432,0.57,11,5,0.2,0.09,1,High Risk,Not Eligible,394
CUST000056,37,Female,Salaried,43135,206081,160,91095,0.44,14,5,0.21,2.11,1,High Risk,Not Eligible,368
CUST000057,56,Male,Self-Employed,35862,421706,71,29570,0.16,8,2,0.09,0.82,1,Medium Risk,Eligible with Conditions,492
CUST000058,60,Female,Salaried,144262,177507,137,9103,0.35,12,1,0.81,0.06,0,Low Risk,Eligible,710
CUST000059,24,Male,Salaried,78199,525140,144,18900,0.49,7,4,0.15,0.24,1,High Risk,Not Eligible,438
CUST000060,22,Female,Salaried,113366,228023,86,61415,0.45,11,1,0.5,0.54,0,Low Risk,Eligible,730
CUST000061,26,Male,Salaried,12331,350250,62,70567,0.32,1,6,0.04,5.72,1,High Risk,Not Eligible,300
CUST000062,62,Female,Self-Employed,52648,321782,153,65713,0.63,9,5,0.16,1.25,1,High Risk,Not Eligible,406
CUST000063,24,Female,Unemployed,36549,74072,135,86169,0.38,9,0,0.49,2.36,0,Low Risk,Eligible,776
CUST000064,49,Male,Self-Employed,33761,72309,73,61639,0.37,6,5,0.47,1.83,1,High Risk,Not Eligible,354
CUST000065,38,Female,Student,11262,165966,254,91728,0.07,7,4,0.07,8.14,1,High Risk,Not Eligible,354
CUST000066,46,Male,Student,80572,506775,181,88476,0.65,13,1,0.16,1.1,1,Medium Risk,Eligible with Conditions,650
CUST000067,64,Male,Salaried,95858,391868,76,11988,0.15,3,2,0.24,0.13,1,Medium Risk,Eligible with Conditions,490
CUST000068,54,Male,Self-Employed,92667,190639,21,81488,0.38,5,2,0.49,0.88,0,Medium Risk,Eligible with Conditions,656
CUST000069,30,Male,Salaried,12677,564614,164,95905,0.57,7,5,0.02,7.57,1,High Risk,Not Eligible,394
CUST000070,56,Male,Self-Employed,138334,388556,74,5977,0.17,1,0,0.36,0.04,0,Low Risk,Not Eligible,734
CUST000071,34,Female,Unemployed,109437,423810,117,57641,0.38,12,6,0.26,0.53,1,High Risk,Not Eligible,300
CUST000072,51,Female,Salaried,68148,309893,236,4268,0.19,1,3,0.22,0.06,1,High Risk,Not Eligible,438
CUST000073,35,Male,Self-Employed,54926,256749,25,57431,0.54,5,4,0.21,1.05,1,High Risk,Not Eligible,448
CUST000074,28,Female,Self-Employed,83271,581106,139,19756,0.41,9,5,0.14,0.24,1,High Risk,Not Eligible,362
CUST000075,34,Male,Self-Employed,42457,542717,267,23764,0.6,7,2,0.08,0.56,1,Medium Risk,Eligible with Conditions,580
CUST000076,43,Female,Salaried,50531,587036,115,62912,0.63,1,2,0.09,1.25,1,Medium Risk,Eligible with Conditions,586
CUST000077,60,Female,Salaried,136027,578095,250,43385,0.46,13,0,0.24,0.32,1,Low Risk,Not Eligible,672
CUST000078,41,Female,Salaried,53771,274284,287,18032,0.52,13,2,0.2,0.34,1,Medium Risk,Eligible with Conditions,564
CUST000079,36,Female,Salaried,101135,330370,12,98014,0.4,12,4,0.31,0.97,1,High Risk,Not Eligible,420
CUST000080,38,Male,Salaried,74354,413117,288,48702,0.29,5,0,0.18,0.66,1,Low Risk,Not Eligible,638
CUST000081,44,Male,Self-Employed,120743,287635,211,14885,0.46,8,1,0.42,0.12,0,Low Risk,Eligible,732
CUST000082,46,Female,Salaried,41892,204888,198,12796,0.64,8,0,0.2,0.31,1,Low Risk,Not Eligible,708
CUST000083,45,Female,Student,137662,171052,51,35863,0.31,12,6,0.8,0.26,1,High Risk,Not Eligible,300
CUST000084,61,Male,Self-Employed,103057,511733,246,84014,0.24,2,4,0.2,0.82,1,High Risk,Not Eligible,388
CUST000085,49,Female,Self-Employed,46409,231597,14,35117,0.29,7,6,0.2,0.76,1,High Risk,Not Eligible,300
CUST000086,35,Male,Salaried,126566,13078,293,23753,0.32,10,4,9.68,0.19,1,High Risk,Not Eligible,404
CUST000087,21,Male,Self-Employed,69716,134101,135,23325,0.08,5,1,0.52,0.33,1,Medium Risk,Eligible with Conditions,536
CUST000088,45,Male,Unemployed,97152,487737,274,10021,0.36,9,5,0.2,0.1,1,High Risk,Not Eligible,352
CUST000089,27,Female,Salaried,34382,446920,65,83721,0.36,3,0,0.08,2.44,1,Low Risk,Not Eligible,652
CUST000090,29,Male,Salaried,84675,546285,168,56096,0.42,1,4,0.16,0.66,1,High Risk,Not Eligible,424
CUST000091,44,Female,Self-Employed,30419,478026,17,74404,0.27,13,4,0.06,2.45,1,High Risk,Not Eligible,394
CUST000092,21,Male,Salaried,89238,513715,276,16071,0.44,4,1,0.17,0.18,1,Medium Risk,Eligible with Conditions,608
CUST000093,64,Female,Salaried,20397,424614,212,67649,0.62,7,3,0.05,3.32,1,High Risk,Not Eligible,524
CUST000094,28,Female,Salaried,65888,217650,250,11041,0.67,1,0,0.3,0.17,0,Low Risk,Not Eligible,834
CUST000095,44,Female,Salaried,43169,364500,137,85051,0.42,2,4,0.12,1.97,1,High Risk,Not Eligible,424
CUST000096,31,Male,Self-Employed,70182,380855,248,43058,0.06,14,2,0.18,0.61,1,Medium Risk,Eligible with Conditions,472
CUST000097,37,Male,Salaried,100476,156633,298,51263,0.68,5,1,0.64,0.51,0,Low Risk,Eligible,776
CUST000098,28,Female,Student,50249,39512,42,94502,0.5,9,3,1.27,1.88,1,High Risk,Not Eligible,500
CUST000099,55,Female,Self-Employed,83603,230226,60,47470,0.26,14,3,0.36,0.57,1,High Risk,Not Eligible,452
CUST000100,55,Female,Self-Employed,87360,213467,52,90826,0.13,1,1,0.41,1.04,1,Medium Risk,Eligible with Conditions,546
CUST000101,53,Male,Self-Employed,21444,469175,109,99238,0.13,12,3,0.05,4.63,1,High Risk,Not Eligible,426
CUST000102,25,Male,Student,131662,122363,63,31223,0.14,4,4,1.08,0.24,1,High Risk,Not Eligible,368
CUST000103,62,Male,Salaried,106843,317809,81,36575,0.06,12,3,0.34,0.34,1,High Risk,Not Eligible,412
CUST000104,59,Male,Student,18974,186675,222,48799,0.63,14,0,0.1,2.57,1,Low Risk,Not Eligible,706
CUST000105,61,Female,Self-Employed,120150,157110,59,24661,0.39,3,2,0.76,0.21,0,Medium Risk,Eligible with Conditions,658
CUST000106,48,Female,Self-Employed,102826,494562,59,84975,0.5,14,4,0.21,0.83,1,High Risk,Not Eligible,440
CUST000107,27,Male,Self-Employed,105648,171964,133,39432,0.58,5,1,0.61,0.37,0,Low Risk,Eligible,756
CUST000108,29,Male,Salaried,142028,399969,89,34147,0.56,5,2,0.36,0.24,0,Medium Risk,Eligible with Conditions,692
CUST000109,28,Female,Salaried,147149,121737,218,32114,0.62,10,5,1.21,0.22,1,High Risk,Not Eligible,404
CUST000110,32,Male,Self-Employed,44490,461036,119,9030,0.68,2,4,0.1,0.2,1,High Risk,Not Eligible,476
CUST000111,54,Male,Salaried,132713,267968,297,93051,0.32,5,2,0.5,0.7,0,Medium Risk,Eligible with Conditions,644
CUST000112,53,Male,Self-Employed,63612,412096,53,50429,0.67,9,3,0.15,0.79,1,High Risk,Not Eligible,534
CUST000113,43,Male,Salaried,108474,333761,71,50743,0.51,5,5,0.33,0.47,1,High Risk,Not Eligible,382
CUST000114,44,Male,Salaried,44159,278661,279,98869,0.08,11,1,0.16,2.24,1,Medium Risk,Eligible with Conditions,536
CUST000115,57,Male,Salaried,47710,415092,133,68615,0.49,10,1,0.11,1.44,1,Medium Risk,Eligible with Conditions,618
CUST000116,55,Female,Salaried,121096,370212,33,50577,0.49,2,0,0.33,0.42,0,Low Risk,Not Eligible,798
CUST000117,64,Male,Self-Employed,115412,472018,37,97584,0.64,7,3,0.24,0.85,1,High Risk,Not Eligible,528
CUST000118,60,Male,Salaried,102924,484818,123,5966,0.28,6,0,0.21,0.06,1,Low Risk,Not Eligible,636
CUST000119,42,Female,Unemployed,14458,214485,184,6728,0.42,7,0,0.07,0.47,1,Low Risk,Not Eligible,664
CUST000120,47,Female,Self-Employed,138993,277126,155,40304,0.04,8,3,0.5,0.29,1,High Risk,Not Eligible,408
CUST000121,55,Female,Salaried,43524,424814,137,52277,0.25,10,4,0.1,1.2,1,High Risk,Not Eligible,390
CUST000122,21,Male,Self-Employed,145925,150711,189,93330,0.07,5,5,0.97,0.64,1,High Risk,Not Eligible,300
CUST000123,55,Female,Student,48477,599498,138,3947,0.38,2,6,0.08,0.08,1,High Risk,Not Eligible,300
CUST000124,57,Male,Self-Employed,40222,599140,181,81101,0.58,7,0,0.07,2.02,1,Low Risk,Not Eligible,696
CUST000125,34,Male,Salaried,26320,14695,26,84380,0.17,7,2,1.79,3.21,0,Medium Risk,Eligible with Conditions,614
CUST000126,23,Male,Student,102154,53582,245,69130,0.38,8,5,1.91,0.68,1,High Risk,Not Eligible,356
CUST000127,21,Female,Self-Employed,60243,298238,81,24414,0.17,7,4,0.2,0.41,1,High Risk,Not Eligible,374
CUST000128,25,Female,Salaried,80833,289331,208,99226,0.11,10,3,0.28,1.23,1,High Risk,Not Eligible,422
CUST000129,46,Female,Salaried,101476,524382,8,85060,0.37,7,1,0.19,0.84,1,Medium Risk,Eligible with Conditions,594
CUST000130,34,Female,Self-Employed,122560,573694,169,96005,0.08,14,4,0.21,0.78,1,High Risk,Not Eligible,356
CUST000131,59,Female,Salaried,142275,152049,132,22439,0.42,13,0,0.94,0.16,0,Low Risk,Eligible,784
CUST000132,47,Male,Student,47267,443055,49,94742,0.05,9,2,0.11,2.0,1,Medium Risk,Eligible with Conditions,470
CUST000133,29,Male,Salaried,45941,456090,222,61220,0.1,8,5,0.1,1.33,1,High Risk,Not Eligible,300
CUST000134,35,Male,Unemployed,90809,368584,239,49785,0.4,2,3,0.25,0.55,1,High Risk,Not Eligible,480
CUST000135,35,Male,Self-Employed,33368,240994,140,39973,0.43,2,1,0.14,1.2,1,Medium Risk,Eligible with Conditions,606
CUST000136,46,Female,Salaried,85186,209573,172,90091,0.05,7,5,0.41,1.06,1,High Risk,Not Eligible,300
CUST000137,62,Female,Salaried,38984,65481,241,76318,0.41,10,2,0.6,1.96,0,Medium Risk,Eligible with Conditions,662
CUST000138,33,Male,Self-Employed,8801,294884,97,71196,0.59,11,6,0.03,8.09,1,High Risk,Not Eligible,338
CUST000139,52,Female,Self-Employed,114538,501733,9,9089,0.51,13,1,0.23,0.08,1,Medium Risk,Eligible with Conditions,622
CUST000140,59,Female,Self-Employed,120201,279025,160,73854,0.12,10,3,0.43,0.61,1,High Risk,Not Eligible,424
CUST000141,52,Male,Salaried,55965,304140,249,65235,0.43,3,5,0.18,1.17,1,High Risk,Not Eligible,366
CUST000142,24,Male,Salaried,93269,566465,85,95141,0.48,1,4,0.16,1.02,1,High Risk,Not Eligible,436
CUST000143,50,Female,Salaried,149041,71126,251,32400,0.05,9,0,2.1,0.22,1,Low Risk,Eligible,590
CUST000144,57,Female,Self-Employed,43969,323675,141,18405,0.6,14,3,0.14,0.42,1,High Risk,Not Eligible,520
CUST000145,43,Male,Salaried,99679,31119,67,55763,0.64,14,2,3.2,0.56,0,Medium Risk,Eligible with Conditions,708
CUST000146,59,Male,Salaried,36363,121894,120,33209,0.6,14,4,0.3,0.91,1,High Risk,Not Eligible,460
CUST000147,35,Male,Self-Employed,149044,163987,117,76598,0.58,3,5,0.91,0.51,1,High Risk,Not Eligible,396
CUST000148,63,Female,Unemployed,41351,400924,35,20424,0.53,1,1,0.1,0.49,1,Medium Risk,Eligible with Conditions,626
CUST000149,49,Male,Salaried,119023,436965,11,92523,0.45,6,4,0.27,0.78,1,High Risk,Not Eligible,430
CUST000150,56,Male,Salaried,95948,49989,7,23556,0.48,4,4,1.92,0.25,1,High Risk,Not Eligible,436
CUST000151,33,Female,Self-Employed,64235,11553,247,96137,0.57,14,2,5.56,1.5,0,Medium Risk,Eligible with Conditions,694
CUST000152,52,Female,Self-Employed,22855,547169,60,22330,0.47,1,0,0.04,0.98,1,Low Risk,Not Eligible,674
CUST000153,27,Female,Salaried,133074,6379,77,84266,0.25,4,6,20.86,0.63,1,High Risk,Not Eligible,300
CUST000154,42,Female,Unemployed,62437,357935,14,6236,0.28,8,4,0.17,0.1,1,High Risk,Not Eligible,396
CUST000155,48,Female,Student,145844,372808,65,72216,0.63,11,4,0.39,0.5,1,High Risk,Not Eligible,466
CUST000156,22,Male,Salaried,98410,74306,54,33312,0.04,7,0,1.32,0.34,1,Low Risk,Eligible,588
CUST000157,62,Male,Salaried,27731,417942,126,24191,0.5,12,0,0.07,0.87,1,Low Risk,Not Eligible,680
CUST000158,26,Female,Self-Employed,149203,248825,179,86457,0.67,1,1,0.6,0.58,0,Low Risk,Eligible,774
CUST000159,48,Female,Self-Employed,74324,432530,5,39640,0.5,10,5,0.17,0.53,1,High Risk,Not Eligible,380
CUST000160,48,Female,Salaried,89720,516030,42,65293,0.7,12,1,0.17,0.73,1,Medium Risk,Eligible with Conditions,660
CUST000161,64,Female,Self-Employed,104433,283494,194,39688,0.49,9,0,0.37,0.38,0,Low Risk,Not Eligible,798
CUST000162,64,Female,Self-Employed,10889,505395,83,74229,0.05,6,6,0.02,6.82,1,High Risk,Not Eligible,300
CUST000163,40,Male,Salaried,17569,104599,194,88802,0.58,2,3,0.17,5.05,1,High Risk,Not Eligible,516
CUST000164,50,Male,Self-Employed,95193,346653,188,95024,0.22,3,0,0.27,1.0,1,Low Risk,Not Eligible,624
CUST000165,31,Male,Unemployed,93192,547057,71,27122,0.33,7,1,0.17,0.29,1,Medium Risk,Eligible with Conditions,586
CUST000166,48,Male,Salaried,95154,313509,21,44224,0.24,3,2,0.3,0.46,0,Medium Risk,Eligible with Conditions,628
CUST000167,45,Female,Salaried,116073,317329,213,97540,0.21,13,2,0.37,0.84,0,Medium Risk,Eligible with Conditions,622
CUST000168,59,Male,Salaried,15612,131525,45,9331,0.32,3,5,0.12,0.6,1,High Risk,Not Eligible,344
CUST000169,53,Female,Student,59644,399836,119,90102,0.28,5,4,0.15,1.51,1,High Risk,Not Eligible,396
CUST000170,21,Female,Unemployed,40069,565591,104,45262,0.45,3,6,0.07,1.13,1,High Risk,Not Eligible,310
CUST000171,47,Female,Salaried,89741,24589,143,89314,0.57,3,2,3.65,1.0,0,Medium Risk,Eligible with Conditions,694
CUST000172,33,Male,Self-Employed,63897,270026,298,62592,0.23,11,1,0.24,0.98,1,Medium Risk,Eligible with Conditions,566
CUST000173,61,Female,Self-Employed,149167,185394,21,36926,0.17,5,2,0.8,0.25,0,Medium Risk,Eligible with Conditions,614
CUST000174,23,Male,Self-Employed,110544,422740,296,89287,0.48,14,6,0.26,0.81,1,High Risk,Not Eligible,316
CUST000175,59,Male,Salaried,26706,20861,78,20528,0.48,5,6,1.28,0.77,1,High Risk,Not Eligible,316
CUST000176,26,Female,Salaried,111602,321405,267,3068,0.63,12,3,0.35,0.03,1,High Risk,Not Eligible,526
CUST000177,28,Female,Salaried,42629,341279,20,72253,0.04,9,0,0.12,1.69,1,Low Risk,Not Eligible,588
CUST000178,47,Female,Self-Employed,132746,583668,18,83754,0.6,1,0,0.23,0.63,1,Low Risk,Not Eligible,700
CUST000179,29,Male,Salaried,28431,225421,285,46968,0.38,14,1,0.13,1.65,1,Medium Risk,Eligible with Conditions,596
CUST000180,57,Female,Unemployed,48088,249497,8,93938,0.45,1,4,0.19,1.95,1,High Risk,Not Eligible,430
CUST000181,53,Male,Salaried,39385,427757,131,51623,0.09,11,6,0.09,1.31,1,High Risk,Not Eligible,300
CUST000182,62,Female,Salaried,78199,49397,10,45129,0.32,14,0,1.58,0.58,0,Low Risk,Eligible,764
CUST000183,64,Female,Self-Employed,46677,425669,133,97688,0.18,9,2,0.11,2.09,1,Medium Risk,Eligible with Conditions,496
CUST000184,44,Male,Self-Employed,126104,460561,236,64321,0.2,5,6,0.27,0.51,1,High Risk,Not Eligible,300
CUST000185,35,Male,Salaried,20818,411122,199,14526,0.37,4,3,0.05,0.7,1,High Risk,Not Eligible,474
CUST000186,52,Male,Salaried,71001,282132,69,95452,0.57,2,4,0.25,1.34,1,High Risk,Not Eligible,454
CUST000187,52,Male,Unemployed,57832,163795,107,94564,0.53,12,4,0.35,1.64,1,High Risk,Not Eligible,446
CUST000188,44,Male,Salaried,48931,563088,281,29709,0.43,9,4,0.09,0.61,1,High Risk,Not Eligible,426
CUST000189,61,Male,Salaried,91990,163502,162,18063,0.39,6,0,0.56,0.2,0,Low Risk,Eligible,778
CUST000190,32,Female,Student,80204,430751,228,7723,0.32,9,5,0.19,0.1,1,High Risk,Not Eligible,344
CUST000191,59,Female,Salaried,53784,204548,293,7213,0.68,5,4,0.26,0.13,1,High Risk,Not Eligible,476
CUST000192,22,Male,Self-Employed,114305,262653,282,25797,0.41,4,1,0.44,0.23,0,Low Risk,Eligible,722
CUST000193,23,Female,Salaried,17921,581572,186,87946,0.2,7,2,0.03,4.91,1,Medium Risk,Eligible with Conditions,500
CUST000194,57,Male,Salaried,42959,585520,8,91918,0.18,5,5,0.07,2.14,1,High Risk,Not Eligible,316
CUST000195,37,Female,Salaried,40328,49420,219,48217,0.44,8,3,0.82,1.2,1,High Risk,Not Eligible,488
CUST000196,22,Female,Salaried,147931,470713,221,71283,0.38,8,2,0.31,0.48,0,Medium Risk,Eligible with Conditions,656
CUST000197,22,Male,Salaried,97506,438714,213,26655,0.04,13,1,0.22,0.27,1,Medium Risk,Eligible with Conditions,528
CUST000198,48,Male,Salaried,82408,202241,78,98884,0.59,2,1,0.41,1.2,0,Low Risk,Eligible,758
CUST000199,43,Male,Self-Employed,131852,254863,231,80990,0.5,13,6,0.52,0.61,1,High Risk,Not Eligible,320
CUST000200,57,Female,Salaried,34708,30968,97,15587,0.47,5,5,1.12,0.45,1,High Risk,Not Eligible,374
CUST000201,52,Male,Salaried,26847,67508,69,25555,0.08,10,2,0.4,0.95,1,Medium Risk,Eligible with Conditions,476
CUST000202,53,Female,Student,63989,380579,14,31071,0.27,8,0,0.17,0.49,1,Low Risk,Not Eligible,634
CUST000203,21,Male,Self-Employed,133383,90366,282,23239,0.66,3,6,1.48,0.17,1,High Risk,Not Eligible,352
CUST000204,39,Female,Salaried,12922,535026,90,52151,0.61,7,1,0.02,4.04,1,Medium Risk,Eligible with Conditions,642
CUST000205,22,Female,Unemployed,60335,8098,30,5203,0.22,3,4,7.45,0.09,1,High Risk,Not Eligible,384
CUST000206,64,Male,Salaried,134913,100424,222,16635,0.14,6,3,1.34,0.12,1,High Risk,Not Eligible,428
CUST000207,46,Female,Salaried,27551,305388,99,55571,0.33,2,3,0.09,2.02,1,High Risk,Not Eligible,466
CUST000208,52,Female,Self-Employed,121319,130349,248,4144,0.27,6,1,0.93,0.03,0,Low Risk,Eligible,694
CUST000209,26,Male,Self-Employed,63673,580257,111,35699,0.49,6,4,0.11,0.56,1,High Risk,Not Eligible,438
CUST000210,52,Female,Salaried,109531,206495,252,87619,0.68,8,2,0.53,0.8,0,Medium Risk,Eligible with Conditions,716
CUST000211,24,Male,Salaried,30948,122286,18,94663,0.27,5,3,0.25,3.06,1,High Risk,Not Eligible,454
CUST000212,31,Male,Self-Employed,100264,80028,165,15213,0.07,14,4,1.25,0.15,1,High Risk,Not Eligible,354
CUST000213,37,Male,Salaried,67072,43575,75,19944,0.63,1,4,1.54,0.3,1,High Risk,Not Eligible,466
CUST000214,58,Male,Unemployed,75560,532480,156,69723,0.06,8,0,0.14,0.92,1,Low Risk,Not Eligible,592
CUST000215,44,Female,Salaried,141558,453484,79,71669,0.67,12,1,0.31,0.51,0,Low Risk,Not Eligible,774
CUST000216,25,Female,Student,74691,565815,219,71947,0.48,9,4,0.13,0.96,1,High Risk,Not Eligible,436
CUST000217,54,Female,Self-Employed,149154,581469,55,37457,0.66,1,6,0.26,0.25,1,High Risk,Not Eligible,352
CUST000218,26,Male,Student,110781,124783,147,38191,0.16,5,2,0.89,0.34,0,Medium Risk,Eligible with Conditions,612
CUST000219,42,Female,Self-Employed,92105,166554,40,75264,0.06,12,3,0.55,0.82,1,High Risk,Not Eligible,412
CUST000220,31,Female,Self-Employed,15086,184300,171,60924,0.36,6,6,0.08,4.04,1,High Risk,Not Eligible,300
CUST000221,36,Male,Salaried,135818,55126,240,36744,0.33,4,0,2.46,0.27,0,Low Risk,Eligible,766
CUST000222,53,Male,Salaried,75853,60114,264,56424,0.25,14,2,1.26,0.74,0,Medium Risk,Eligible with Conditions,630
CUST000223,29,Female,Salaried,109925,360884,196,91417,0.67,11,3,0.3,0.83,1,High Risk,Not Eligible,534
CUST000224,26,Male,Student,78027,211422,206,81337,0.58,2,1,0.37,1.04,0,Low Risk,Not Eligible,756
CUST000225,36,Male,Student,23916,126284,266,79084,0.47,5,2,0.19,3.31,1,Medium Risk,Eligible with Conditions,554
CUST000226,49,Male,Salaried,23248,319626,189,35886,0.14,14,3,0.07,1.54,1,High Risk,Not Eligible,428
